year,rank,title,stage4_row_key,tmdb_id,imdb_id_tmdb,tmdb_title,tmdb_release_date,tmdb_match_confidence,worldwide_gross,domestic_gross,foreign_gross,domestic_pct,foreign_pct,domestic_rank,foreign_rank,domestic_foreign_ratio,rank_gap_domestic_vs_worldwide,rank_gap_foreign_vs_worldwide,domestic_missing,foreign_missing,worldwide_missing,any_gross_missing,synopsis_en,source_url,subtitle_available,subtitle_language,subtitle_path,hero_name,hero_actor,villain_name,villain_actor,victim_name,victim_level,hero_victim_distance,conflict_scale,moral_scope_index,confidence,has_political_keyword,political_keyword_count,political_any_core,political_any_broad,polkw_core,polkw_broad,total_kw,polshare_core,polshare_broad,parsing_status,warning_message,error_message
1977,1,Star Wars: Episode IV - A New Hope,0,11.0,tt0076759,Star Wars,1977-05-25,MANUAL_ACCEPTED,307263857,307263857.0,,100.0,,1.0,,,0.0,,False,True,False,True,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_Star_Wars_Episode_IV_A_New_Hope_tt0076759_5242536.srt,Luke Skywalker,individual_civilian,Imperial forces,state_military,the Empire,2,2,2,4,medium,True,2,True,True,2,2,22,0.0909090909090909,0.0909090909090909,success,,
1977,2,Smokey and the Bandit,1,11006.0,tt0076729,Smokey and the Bandit,1977-05-27,HIGH,126748082,126737428.0,87.0,100.0,0.1,2.0,3.0,1456752.0459770116,0.0,1.0,False,False,False,False,"A race car driver tries to transport an illegal beer shipment from Texas to Atlanta in under 28 hours, picking up a reluctant bride-to-be on the way.",https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_Smokey_and_the_Bandit_tt0076729_4933073.srt,the Bandit,individual_civilian,law enforcement pursuing the beer run,state_military,the Bandit and the illegal beer shipment mission,0,0,2,0,medium,True,1,False,True,0,1,23,0.0,0.0434782608695652,success,,
1977,3,Close Encounters of the Third Kind,2,840.0,tt0075860,Close Encounters of the Third Kind,1977-12-14,HIGH,116398937,116395460.0,2696.0,100.0,0.1,3.0,2.0,43173.390207715136,0.0,-1.0,False,False,False,False,"After an encounter with UFOs, an electricity linesman feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.",https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_Close_Encounters_of_the_Third_Kind_tt0075860_7081274.srt,an electricity linesman,individual_civilian,UFOs,non_human,the electricity linesman,0,0,0,0,low,False,0,False,False,0,0,40,0.0,0.0,success,,
1977,4,Saturday Night Fever,3,11009.0,tt0076666,Saturday Night Fever,1977-12-16,HIGH,94214336,94213184.0,,100.0,,4.0,,,0.0,,False,True,False,True,Tony spends his Saturdays at a disco where his stylish moves raise his popularity among the patrons. But his life outside the disco is not easy and things change when he gets attracted to Stephanie.,https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_Saturday_Night_Fever_tt0076666_591018.srt,Tony,individual_civilian,Tony's difficult life circumstances,none,Tony,0,0,0,0,medium,False,0,False,False,0,0,9,0.0,0.0,success_with_warnings,villain_actor unresolved (none),
1977,5,A Bridge Too Far,4,5902.0,tt0075784,A Bridge Too Far,1977-06-15,HIGH,50750000,50750000.0,,100.0,,5.0,,,0.0,,False,True,False,True,The story of Operation Market Garden—a failed attempt by the allies in the latter stages of WWII to end the war quickly by securing three bridges in Holland allowing access over the Rhine into Germany. A combination of poor allied intelligence and the presence of two crack German panzer divisions meant that the final part of this operation (the bridge in Arnhem over the Rhine) was doomed to failure.,https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_A_Bridge_Too_Far_tt0075784_4638720.srt,the Allied forces in Operation Market Garden,state_military,"the German forces, especially the two panzer divisions at Arnhem",state_military,the Allied operation to secure the bridges into Germany,2,2,2,4,medium,True,3,True,True,1,3,15,0.0666666666666666,0.2,success,,
1977,6,The Deep,5,20416.0,tt0075925,The Deep,1977-06-17,HIGH,47346365,47346365.0,,100.0,,6.0,,,0.0,,False,True,False,True,A pair of young vacationers are involved in a dangerous conflict with treasure hunters when they discover a way into a deadly wreck in Bermuda waters.,https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_The_Deep_tt0075925_2662364.srt,a pair of young vacationers,collective_civilian,treasure hunters,collective_civilian,a pair of young vacationers,0,0,0,0,medium,False,0,False,False,0,0,11,0.0,0.0,success,,
1977,7,The Spy Who Loved Me,6,691.0,tt0076752,The Spy Who Loved Me,1977-07-07,HIGH,46839295,46838673.0,,100.0,,7.0,,,0.0,,False,True,False,True,Russian and British submarines with nuclear missiles on board both vanish from sight without a trace. England and Russia both blame each other as James Bond tries to solve the riddle of the disappearing ships. But the KGB also has an agent on the case.,https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_The_Spy_Who_Loved_Me_tt0076752_468088.srt,James Bond,state_military,the force behind the disappearing submarines,none,England and Russia,2,2,2,4,medium,True,3,True,True,2,3,28,0.0714285714285714,0.1071428571428571,success_with_warnings,villain_actor unresolved (none),
1977,8,"Oh, God!",7,24032.0,tt0076489,"Oh, God!",1977-10-07,HIGH,41687243,41687243.0,,100.0,,8.0,,,0.0,,False,True,False,True,"When God appears to an assistant grocery manager as a good natured old man, the Almighty selects him as his messenger for the modern world.",https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_Oh_God_tt0076489_4572433.srt,the assistant grocery manager,individual_civilian,,none,the modern world,3,3,3,6,low,False,0,False,False,0,0,4,0.0,0.0,success_with_warnings,villain_actor unresolved (none),
1977,9,Annie Hall,8,703.0,tt0075686,Annie Hall,1977-04-19,HIGH,38258186,38251425.0,5771.0,100.0,0.1,9.0,1.0,6628.214347600069,0.0,-8.0,False,False,False,False,New York comedian Alvy Singer falls in love with the ditsy Annie Hall.,https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_Annie_Hall_tt0075686_267048.srt,Alvy Singer,individual_civilian,the romantic relationship conflict between Alvy and Annie,none,Alvy and Annie Hall,1,0,0,1,medium,False,0,False,False,0,0,13,0.0,0.0,success_with_warnings,villain_actor unresolved (none),
1977,10,Semi-Tough,9,4988.0,tt0078227,Semi-Tough,1977-11-18,HIGH,37187139,37187139.0,,100.0,,10.0,,,0.0,,False,True,False,True,A three-way friendship between two free-spirited professional football players and the owner's daughter becomes compromised when two of them become romantically involved.,https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_Semi_Tough_tt0078227_797875.srt,the three-way friendship,collective_civilian,the romantic involvement between two friends,individual_civilian,the friendship between the two football players and the owner's daughter,1,0,0,1,medium,False,0,False,False,0,0,2,0.0,0.0,success,,
1977,11,Pete's Dragon,10,11114.0,tt0076538,Pete's Dragon,1977-11-03,HIGH,35488000,35488000.0,,100.0,,11.0,,,0.0,,False,True,False,True,"Pete, a young orphan, runs away to a Maine fishing town with his best friend a lovable, sometimes invisible dragon named Elliott! When they are taken in by a kind lighthouse keeper, Nora, and her father, Elliott's prank playing lands them in big trouble. Then, when crooked salesmen try to capture Elliott for their own gain, Pete must attempt a daring rescue.",https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_Pete_s_Dragon_tt0076538_703377.srt,Pete,individual_civilian,crooked salesmen,collective_civilian,Elliott,0,0,0,0,high,False,0,False,False,0,0,11,0.0,0.0,success,,
1977,12,Heroes,11,83061.0,tt0076138,Heroes,1977-11-04,HIGH,33500000,33500000.0,,100.0,,12.0,,,0.0,,False,True,False,True,A Vietnam veteran suffering from post traumatic stress disorder breaks out of a VA hospital and goes on a road trip with a sympathetic traveler to find out what became of the other men in his unit.,https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_Heroes_tt0076138_4024817.srt,a Vietnam veteran suffering from post traumatic stress disorder,individual_civilian,post traumatic stress disorder and its aftermath,none,the veteran and the other men in his unit,1,0,0,1,medium,False,0,False,False,0,0,4,0.0,0.0,success_with_warnings,villain_actor unresolved (none),
1977,13,High Anxiety,12,12535.0,tt0076141,High Anxiety,1977-12-25,HIGH,31063038,31063038.0,,100.0,,13.0,,,0.0,,False,True,False,True,"A psychiatrist with intense acrophobia (fear of heights) goes to work for a mental institution run by doctors who appear to be crazier than their patients, and have secrets that they are willing to commit murder to keep.",https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_High_Anxiety_tt0076141_635478.srt,the acrophobic psychiatrist,individual_civilian,the doctors running the mental institution,collective_civilian,the psychiatrist and others threatened by the institution's secrets,1,0,0,1,medium,False,0,False,False,0,0,8,0.0,0.0,success,,
1977,14,Exorcist II: The Heretic,13,11586.0,tt0076009,Exorcist II: The Heretic,1977-06-17,HIGH,30749142,30749142.0,,100.0,,14.0,,,0.0,,False,True,False,True,"Bizarre nightmares plague Regan MacNeil four years after her possession and exorcism. Has the demon returned? And if so, can the combined faith and knowledge of a Vatican investigator and a research specialist free her from its grasp?",https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_Exorcist_II_The_Heretic_tt0076009_387662.srt,a Vatican investigator and a research specialist,collective_civilian,the demon,non_human,Regan MacNeil,0,1,0,1,high,False,0,False,False,0,0,18,0.0,0.0,success,,
1977,15,The Rescuers,14,11319.0,tt0076618,The Rescuers,1977-06-22,HIGH,29000120,29000000.0,,100.0,,15.0,,,0.0,,False,True,False,True,Two agents of the mouse-run International Rescue Aid Society search for a little orphan girl kidnapped by sinister treasure hunters.,https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_The_Rescuers_tt0076618_1447553.srt,two agents of the International Rescue Aid Society,collective_civilian,sinister treasure hunters,collective_civilian,a little orphan girl,0,0,0,0,high,False,0,False,False,0,0,14,0.0,0.0,success,,
1977,16,Slap Shot,15,11590.0,tt0076723,Slap Shot,1977-02-25,HIGH,28000000,28000000.0,,100.0,,16.0,,,0.0,,False,True,False,True,"To build up attendance at their games, the management of a struggling minor-league hockey team signs up the Hanson Brothers, three hard-charging players whose job is to demolish the opposition.",https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_Slap_Shot_tt0076723_629094.srt,the struggling minor-league hockey team management,corporate_institutional,the opposition,collective_civilian,the opposition,1,1,0,2,low,False,0,False,False,0,0,5,0.0,0.0,success,,
1977,17,Herbie Goes to Monte Carlo,16,14140.0,tt0076137,Herbie Goes to Monte Carlo,1977-06-24,HIGH,28000000,28000000.0,,100.0,,16.0,,,-1.0,,False,True,False,True,"Herbie, the Volkswagen Beetle with a mind of its own, is racing in the Monte Carlo Rally. But thieves have hidden a cache of stolen diamonds in Herbie's gas tank, and are now trying to get them back.",https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_Herbie_Goes_to_Monte_Carlo_tt0076137_692459.srt,Herbie,non_human,the thieves,collective_civilian,Herbie,0,0,2,0,medium,False,0,False,False,0,0,7,0.0,0.0,success,,
1977,18,The Gauntlet,17,17689.0,tt0076070,The Gauntlet,1977-12-17,HIGH,26414658,26414658.0,,100.0,,18.0,,,0.0,,False,True,False,True,Phoenix cop Ben Shockley is well on his way to becoming a derelict when he is assigned to transport a witness from Las Vegas. The witness turns out to be a belligerent prostitute with mob ties—and incriminating information regarding a high-ranking official.,https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_The_Gauntlet_tt0076070_620567.srt,Ben Shockley,state_military,a high-ranking official and associated corrupt forces,state_military,the witness,0,0,1,0,medium,False,0,False,False,0,0,29,0.0,0.0,success,,
1977,19,The Turning Point,18,61280.0,tt0076843,The Turning Point,1977-11-14,HIGH,25933445,25933445.0,,100.0,,19.0,,,0.0,,False,True,False,True,"As young dancers, they were best friends and fierce rivals. Deedee left the stage for marriage and motherhood, while Emma would become an international ballet icon. But when Deedee's teenage daughter is invited to join Emma's dance company and begins an affair with a young Russian star, the two women are forced to confront the choices they've made, the resentments they've hidden and the emotional truths they must face at the turning point.",https://www.boxofficemojo.com/year/world/1977/,True,en,/Users/cedricroetheli/Desktop/BA Cédric/Input/Code/boxoffice-analysis-pipeline/data/raw/subtitles/1977_The_Turning_Point_tt0076843_3818372.srt,Deedee and Emma,collective_civilian,their unresolved rivalry and personal resentments,none,"Deedee, Emma, and Deedee's daughter",1,0,0,1,medium,False,0,False,False,0,0,16,0.0,0.0,success_with_warnings,villain_actor unresolved (none),
